time	soil_moisture	temperature	air_humidity
1582555951676	950.0	23.0	34.0
1582556672641	917.0	23.0	34.0
1582557393555	966.0	23.0	34.0
1582558114545	951.0	23.0	34.0
1582558835470	954.0	23.0	34.0
1582559556387	966.0	23.0	34.0
1582560277263	967.0	23.0	34.0
1582560998175	969.0	23.0	34.0
1582561719079	973.0	23.0	34.0
1582562439961	973.0	23.0	34.0
1582563160927	974.0	23.0	34.0
1582563881763	972.0	23.0	34.0
1582564602649	972.0	23.0	34.0
1582565323568	972.0	23.0	34.0
1582566044419	972.0	23.0	34.0
1582566765274	973.0	23.0	34.0
1582567486163	972.0	23.0	34.0
1582568207094	972.0	22.0	35.0
1582568928159	972.0	22.0	35.0
1582569648993	970.0	23.0	34.0
1582570369974	973.0	23.0	34.0
1582571090853	975.0	23.0	34.0
1582571811777	973.0	22.0	35.0
1582572532692	973.0	22.0	35.0
1582573253617	973.0	23.0	34.0
1582573974562	973.0	22.0	35.0
1582574695411	973.0	23.0	34.0
1582575416284	973.0	22.0	35.0
1582576137182	972.0	22.0	35.0
1582576858106	972.0	22.0	35.0
1582577578983	972.0	22.0	35.0
1582578299856	970.0	22.0	35.0
1582579020747	970.0	22.0	35.0
1582579741616	970.0	22.0	35.0
1582580462473	970.0	22.0	35.0
1582581183321	965.0	22.0	35.0
1582581904266	964.0	22.0	35.0
1582582625165	963.0	22.0	35.0
1582583346024	962.0	22.0	35.0
1582584066983	955.0	22.0	35.0
1582584787946	955.0	22.0	35.0
1582585508872	954.0	22.0	35.0
1582586229788	954.0	22.0	35.0
1582586950732	952.0	22.0	35.0
1582587671586	952.0	22.0	35.0
1582588392520	835.0	22.0	35.0
1582589113397	830.0	22.0	35.0
1582589834254	834.0	22.0	35.0
1582590555117	848.0	22.0	35.0
1582591276060	821.0	22.0	35.0
1582591997023	952.0	22.0	35.0
1582592717932	948.0	22.0	35.0
1582593438900	974.0	22.0	35.0
1582594159852	973.0	22.0	35.0
1582594880734	960.0	22.0	35.0
1582595601599	955.0	22.0	35.0
1582596322611	970.0	22.0	35.0
1582597043553	970.0	22.0	35.0
1582597764372	972.0	22.0	35.0
1582598485354	972.0	22.0	35.0
1582599206294	972.0	22.0	35.0
1582599927239	972.0	22.0	35.0
1582600648075	970.0	22.0	35.0
1582601368938	969.0	22.0	35.0
1582602089890	969.0	22.0	35.0
1582602810864	970.0	22.0	35.0
1582603531772	969.0	22.0	35.0
1582604252643	969.0	22.0	35.0
1582604973554	970.0	22.0	35.0
1582605694411	966.0	22.0	35.0
1582606415274	968.0	22.0	35.0
1582607136188	968.0	22.0	35.0
1582607857103	965.0	23.0	34.0
1582608577943	964.0	23.0	34.0
1582609298902	965.0	23.0	34.0
1582610019793	981.0	23.0	34.0
1582610740665	981.0	23.0	34.0
1582611461520	982.0	23.0	34.0
1582612182392	981.0	23.0	34.0
1582612903326	981.0	23.0	34.0
1582613624316	1009.0	23.0	36.0
1582614345237	1011.0	23.0	34.0
1582615066127	1012.0	23.0	34.0
1582615787061	1009.0	23.0	34.0
1582616507909	1010.0	23.0	34.0
1582617228829	1012.0	23.0	34.0
1582617949722	1011.0	24.0	35.0
1582618670585	1011.0	23.0	34.0
1582619391516	1011.0	23.0	34.0
1582620112317	1012.0	23.0	34.0
1582620833169	1012.0	23.0	34.0
1582621554144	1012.0	23.0	38.0
1582622275077	1013.0	23.0	34.0
1582622996000	1012.0	23.0	34.0
1582623716851	1013.0	23.0	34.0
1582624437782	1011.0	24.0	34.0
1582625158683	1013.0	23.0	34.0
